slope_ET,slope_Q,slope_Sed,model
0.63537732,0.056555087,5.32E-05,CNRM_CM5_RCP45
-0.115163819,0.598620818,0.006962785,CNRM_CM5_RCP45
-0.060811438,0.146015228,0.00070279,CNRM_CM5_RCP45
0.084258279,0.180329662,2.38E-05,CNRM_CM5_RCP45
-0.141639451,0.088823904,0.000236734,CNRM_CM5_RCP45
0.178827348,0.132725391,0.000724804,CNRM_CM5_RCP45
0.347781133,0.153717174,0.000497892,CNRM_CM5_RCP45
0.064574709,0.288561125,0.000422233,CNRM_CM5_RCP45
-0.348654008,0.644260158,0.004105143,CNRM_CM5_RCP45
-0.03465653,0.157226521,8.76E-05,CNRM_CM5_RCP45
-0.26155185,0.530574648,0.570080484,CNRM_CM5_RCP45
3.134782161,0.406558044,4.74E-05,CNRM_CM5_RCP45
1.909114009,0.442180031,-2.97E-05,CNRM_CM5_RCP45
1.860905406,0.385506423,-6.27E-05,CNRM_CM5_RCP45
0.575376856,0.425599614,0.002153103,CNRM_CM5_RCP45
1.77646132,0.160226308,-1.29E-06,CNRM_CM5_RCP45
0.634173105,0.533868107,-0.042050598,CNRM_CM5_RCP45
0.210354908,0.002158503,2.40E-06,CNRM_CM5_RCP45
1.432486365,0.124705842,6.63E-05,CNRM_CM5_RCP45
1.402758659,0.197947976,-0.000128583,CNRM_CM5_RCP45
1.119985739,0.087311248,-3.80E-05,CNRM_CM5_RCP45
-0.001603265,0.005961315,1.04E-06,CNRM_CM5_RCP45
0.718679931,-0.000242168,-1.52E-06,CNRM_CM5_RCP45
-1.007182189,-2.67E-06,0,CNRM_CM5_RCP45
-1.822324363,0.005977141,0.0001035,CNRM_CM5_RCP45
0.882969717,0.031046428,0.000443247,CNRM_CM5_RCP45
-0.619062204,-0.050920064,-0.001003097,CNRM_CM5_RCP45
0.224088629,0.018266419,-6.71E-05,CNRM_CM5_RCP45
-2.546953343,-0.56016823,0.000721227,CNRM_CM5_RCP45
-0.663850006,0.001786455,1.64E-05,CNRM_CM5_RCP45
2.200099704,0.382798709,0.001261119,CNRM_CM5_RCP45
-2.396166436,-0.364626688,0.001404472,CNRM_CM5_RCP45
-1.685494728,-0.129118152,-0.000644192,CNRM_CM5_RCP45
-0.04757249,3.85E-05,0,CNRM_CM5_RCP45
0.836124469,0.15092221,-8.34E-05,CNRM_CM5_RCP45
-0.096922328,-0.008848697,-0.000374201,CNRM_CM5_RCP45
0.463463898,0.063683352,0.000205808,CNRM_CM5_RCP45
-1.184514026,0.003210789,7.81E-06,CNRM_CM5_RCP45
1.36256174,0.109351459,0.000201677,CNRM_CM5_RCP45
0.030494298,0.000767928,3.46E-05,CNRM_CM5_RCP45
0.043198038,0.003094644,1.35E-06,CNRM_CM5_RCP45
0.515075022,0.095547965,0.000206351,CNRM_CM5_RCP45
-1.660242956,-0.130110644,-0.001455993,CNRM_CM5_RCP45
0.568830098,-5.57E-05,0,CNRM_CM5_RCP45
1.063205182,-0.000505976,5.59E-08,CNRM_CM5_RCP45
-0.430110186,-0.000126263,0,CNRM_CM5_RCP45
-0.212680417,0.000757379,1.07E-06,CNRM_CM5_RCP45
-0.313005344,0.000965591,6.46E-06,CNRM_CM5_RCP45
1.089460594,0.000286102,2.01E-07,CNRM_CM5_RCP45
1.535691833,0.008847512,0.000172842,CNRM_CM5_RCP45
0.474542727,0.000341324,-2.57E-07,CNRM_CM5_RCP45
2.214334666,0.002669812,9.06E-06,CNRM_CM5_RCP45
1.535802471,-0.000902292,0,CNRM_CM5_RCP45
3.179150095,-0.012137824,-7.18E-05,CNRM_CM5_RCP45
1.934696791,0.10623054,0.001158408,CNRM_CM5_RCP45
0.538858005,0.002201493,1.14E-06,CNRM_CM5_RCP45
-2.228128069,-0.411575268,-0.002374458,CNRM_CM5_RCP45
1.065566469,-0.001448446,0,CNRM_CM5_RCP45
-0.153038596,-0.177677219,-0.005841883,CNRM_CM5_RCP45
3.342282642,0.002914747,2.57E-05,CNRM_CM5_RCP45
2.301249536,0.003585896,-1.42E-06,CNRM_CM5_RCP45
0.868853198,0.004950509,-2.24E-07,CNRM_CM5_RCP45
4.256955311,0.003388003,0,CNRM_CM5_RCP45
-0.820959733,1.502070941,-0.001003874,CNRM_CM5_RCP45
