,RunID,interc_ET,slope_ET,interc_Q,slope_Q,interc_Sed,slope_Sed,model
16063,24910094,703.0488684,-0.008435655,-411.4863753,0.220066078,-4.571968694,0.002390877,CNRM_CM5_RCP45
16064,24910095,806.3718541,-0.066400744,-374.8154607,0.201824301,-27.00658836,0.014108028,CNRM_CM5_RCP45
16065,24910096,750.9696591,-0.049894482,-390.3933075,0.209920125,-2.696740608,0.001383542,CNRM_CM5_RCP45
16066,24910097,601.5157082,0.004468795,-377.792924,0.202838898,-4.431554627,0.002572602,CNRM_CM5_RCP45
16067,24910098,562.8281035,0.072391016,-308.6570769,0.174533089,-12.43522264,0.007011762,CNRM_CM5_RCP45
16068,24910099,18.95313285,0.321364881,-463.0016118,0.261139893,-33.05207138,0.016911678,CNRM_CM5_RCP45
16069,24910100,192.1435594,0.235569795,-222.859078,0.126297663,-3.854242388,0.002035527,CNRM_CM5_RCP45
16070,24910101,732.1630087,-0.082662942,-207.3824467,0.1145955,-2.713106636,0.001494013,CNRM_CM5_RCP45
16071,24910102,509.9886269,0.077798686,-394.7160066,0.217418543,-29.86328161,0.015294259,CNRM_CM5_RCP45
16072,24910103,593.4469127,0.057402108,-273.4910539,0.151333341,-1.364993711,0.000751303,CNRM_CM5_RCP45
16073,24910104,-91.36906885,0.371273664,-278.3447243,0.15629536,-2.078542654,0.001135745,CNRM_CM5_RCP45
16074,24910105,-110.6887646,0.405884386,-113.9089935,0.068835717,-1.011493981,0.000575414,CNRM_CM5_RCP45
16075,24910106,805.1071364,-0.039388959,-438.0551805,0.241212355,-84.8872975,0.046972373,CNRM_CM5_RCP45
16076,24910107,655.12237,0.004308654,-323.0249071,0.176971746,-8.850675499,0.004882491,CNRM_CM5_RCP45
16077,24910108,517.6679646,0.077796372,-239.1857969,0.133142067,-0.972785564,0.000548865,CNRM_CM5_RCP45
16078,24910109,647.9926988,0.009167811,-379.680743,0.20650218,-2.585627497,0.001399665,CNRM_CM5_RCP45
16079,24910110,609.3805908,0.014665843,-392.3692446,0.211612824,-7.853904852,0.004134414,CNRM_CM5_RCP45
16080,24910111,782.3123449,-0.046055557,-302.4814209,0.164406496,-2.245282713,0.001196215,CNRM_CM5_RCP45
16081,24910112,424.8170109,0.128317123,-344.9539626,0.189983777,-8.275929552,0.004289507,CNRM_CM5_RCP45
16082,24910113,732.2851816,-0.023437824,-1007.400635,0.59058149,-12.56201159,0.006619208,CNRM_CM5_RCP45
16083,24910114,737.6874513,-0.020882994,-527.3642907,0.287567615,-20.7654496,0.010790267,CNRM_CM5_RCP45
16084,24910115,837.4273768,-0.066185253,-527.1595325,0.291507977,-26.01352901,0.013696254,CNRM_CM5_RCP45
16085,24910116,495.7949475,0.086951202,-217.198822,0.128294136,-1.98858079,0.001041788,CNRM_CM5_RCP45
16086,24910117,-1318.922055,0.991598183,1.801665027,0.009745528,-1.419541611,0.000715441,CNRM_CM5_RCP45
16087,24910118,710.523457,0.014579578,-282.6357975,0.156374268,-17.86956219,0.009684923,CNRM_CM5_RCP45
16088,24910119,717.5073718,-0.014850481,-466.1633384,0.353350447,-390.060314,0.202755037,CNRM_CM5_RCP45
16089,24910120,323.3243874,0.174428505,-231.1002542,0.135103136,-5.515494195,0.002794617,CNRM_CM5_RCP45
16090,24910121,88.41539249,0.264764708,-218.1679542,0.12716889,-7.878966607,0.004001431,CNRM_CM5_RCP45
16091,24910122,448.9713024,0.115057452,-281.3868993,0.158362014,-2.531680866,0.001288573,CNRM_CM5_RCP45
16092,24910123,613.4245143,0.026935633,-351.6988289,0.197429556,-5.114230201,0.00267249,CNRM_CM5_RCP45
16093,24910124,-15.09213006,0.326427342,-214.6799257,0.129029299,-2.194621618,0.001151303,CNRM_CM5_RCP45
16094,24910125,152.5804146,0.221604992,-450.7096849,0.246043264,-12.91951549,0.006541,CNRM_CM5_RCP45
16095,24910126,725.927437,-0.02381122,-440.7597187,0.23601676,-6.090941609,0.003153494,CNRM_CM5_RCP45
16096,24910127,715.0121065,-0.043716324,-505.0271193,0.278764445,-8.997804105,0.004805473,CNRM_CM5_RCP45
16097,24910128,38.87942053,0.295822523,-440.9315339,0.247904931,-17.62174392,0.009313098,CNRM_CM5_RCP45
16098,24910129,477.7209569,0.070154942,-404.4430401,0.218048032,-4.365601362,0.002266654,CNRM_CM5_RCP45
16099,24910130,716.9500853,-0.017148407,-470.6828588,0.258704344,-16.55465147,0.008646763,CNRM_CM5_RCP45
16100,24910131,780.4845135,-0.049035359,-420.244443,0.227965004,-15.54773699,0.008700246,CNRM_CM5_RCP45
16101,24910132,336.4937498,0.148037248,-427.0041331,0.231546914,-7.395084778,0.003860907,CNRM_CM5_RCP45
16102,24910133,-310.7281448,0.502027102,-299.9034301,0.164266928,-8.06178289,0.004216022,CNRM_CM5_RCP45
16103,24910134,657.6385764,-0.000493566,-485.8520131,0.260148977,-10.08121303,0.005260555,CNRM_CM5_RCP45
16104,24910135,558.9499971,0.018913976,-491.7957108,0.262354489,-1.666924707,0.000874972,CNRM_CM5_RCP45
16105,24910136,234.3873569,0.1668839,-576.118277,0.334808486,-126.6846713,0.063972937,CNRM_CM5_RCP45
16106,24910137,410.0722026,0.125799161,-521.1312677,0.324021528,-60.83793301,0.032030602,CNRM_CM5_RCP45
16107,24910138,-264.4962208,0.465025067,-76.78917379,0.063224217,-17.14330408,0.009048368,CNRM_CM5_RCP45
16108,24910139,652.1864568,-0.013820684,-532.387972,0.300001224,-28.84960007,0.014978913,CNRM_CM5_RCP45
16109,24910140,164.480015,0.231025397,-380.0244754,0.210572898,-2.667920859,0.001366961,CNRM_CM5_RCP45
16110,24910141,651.2436313,0.006229791,-420.8313706,0.240791592,-78.30977627,0.041993689,CNRM_CM5_RCP45
