year	month	SPI1_MV	SPI1_AG	SPEI1	SPI3_MV	SPI3_AG	SPEI3	SPI6_MV	SPI6_AG	SPEI6	SPI9_MV	SPI9_AG	SPEI9	SPI12_MV	SPI12_AG	SPEI12	VCI
2003	5	0.926618305	0.816668752	0.968551901	1.003555412	0.835536088	0.869311436	0.354312525	0.229411057	0.030936992	0.779839674	0.73153047	0.676800297	0.831895505	0.780363547	0.781838711	0.725988964
2003	6	-0.105233698	-0.035773357	-0.311783201	0.902086891	0.743903425	0.648302863	0.208073917	0.070118657	-0.119854753	0.746819277	0.669517689	0.560544912	0.828999983	0.783799166	0.76007293	0.665659203
2003	7	-0.814953876	-0.686102509	-0.846992719	0.443729036	0.381084243	0.134441501	0.55313063	0.451639813	0.266912638	0.624461887	0.513317522	0.363674336	0.721061115	0.641657662	0.553266687	0.583245334
2003	8	0.828523169	0.800467952	0.571573124	0.101910744	0.096803636	-0.311512111	0.976764171	0.781750511	0.66981886	0.347123074	0.235045751	0.026137845	0.784062691	0.722235015	0.624104366	0.683833959
2003	9	0.647875427	0.544113241	0.511322606	0.538750185	0.404259514	0.248549762	0.879568527	0.671724278	0.571641765	0.28754646	0.171263997	-0.052927884	0.783264733	0.695000298	0.5509589	0.520850439
2003	10	-1.040107435	-1.198599172	-1.343322553	-0.352904476	-0.436534429	-0.793387502	-0.111691884	-0.157029093	-0.424906307	0.319416255	0.240810383	-0.030742108	0.525850006	0.394512296	0.179335208	0.428426352
2003	11	-1.066280999	-0.927124349	-1.400061233	-0.966272184	-0.86974427	-1.298449512	-0.817335869	-0.72818973	-1.178368887	0.129440797	0.123163135	-0.265452786	-0.034984207	-0.103874184	-0.473169264	0.24772186
2003	12	0.414821023	0.281745697	0.396933529	-0.604345484	-0.645461004	-0.876479897	-0.344294603	-0.393384508	-0.659848804	-0.012034968	-0.018047754	-0.225876432	-0.097600376	-0.133409575	-0.421002177	0.255835218
2004	1	-2.040364116	-2.145740746	-1.819714575	-1.046253813	-1.156210062	-1.298797227	-1.030537188	-1.141904022	-1.373666242	-0.893002501	-0.933332103	-1.255014942	-0.419493262	-0.383435616	-0.726069493	0.404916238
2004	2	-0.308019365	-0.405835575	-0.43916968	-0.707102167	-0.947654501	-0.965118414	-1.040152218	-1.4230994	-1.37678736	-1.008661314	-1.29716956	-1.368753823	-0.455202133	-0.49158475	-0.802058938	0.462913345
2004	3	-1.61166015	-1.781504811	-1.492260805	-1.792580079	-2.016622644	-1.641768403	-1.496717027	-2.124415032	-1.583945943	-1.279874041	-1.688547327	-1.501880005	-0.997816539	-1.232274338	-1.328632317	0.483723454
2004	4	-1.575234825	-1.374404167	-1.443620825	-1.482114892	-1.788108417	-1.43379848	-1.441455423	-1.873901318	-1.504991193	-1.429202352	-2.040314073	-1.555891434	-1.35485022	-1.874202016	-1.530329487	0.378666555
2004	5	1.200280101	1.085387595	0.845332102	-1.31278925	-1.40134762	-1.332029957	-1.165334221	-1.424855543	-1.304546351	-1.34217562	-1.821134863	-1.512410681	-1.306546313	-1.753595247	-1.505705295	0.346780595
2004	6	1.835104167	1.720830677	1.409920397	0.045729468	-0.058157064	-0.404555512	-1.592772988	-1.791897277	-1.516137195	-1.408847651	-1.842838872	-1.523837222	-1.215644075	-1.635415393	-1.456473295	0.191047893
2004	7	1.12160481	0.968603783	1.008228646	1.680081387	1.513740119	1.348002204	-0.889032159	-0.950857362	-1.002625961	-1.132500497	-1.355597024	-1.322580004	-1.140787273	-1.509951914	-1.398167096	0.223973267
2004	8	1.438163994	1.359233375	1.509646485	1.879885115	1.747411288	1.701562041	-0.603425177	-0.618827469	-0.807375934	-0.87419517	-1.033398441	-1.043490307	-1.100430939	-1.442712655	-1.34720753	0.247171521
2004	9	0.991327779	0.863507289	1.147462137	1.312536109	1.075614388	1.491335688	0.799927544	0.60737501	0.677438703	-1.057777224	-1.167947917	-1.118715652	-1.061556008	-1.317540611	-1.283237269	0.350327594
2004	10	1.272626194	1.195849725	1.482259918	1.726269416	1.528026074	1.922772896	1.95064133	1.819938987	1.837564161	0.084962413	0.045737612	-0.051898087	-0.576710921	-0.619955523	-0.85484055	0.519536338
2004	11	0.708976347	0.687003741	0.669595875	1.379202301	1.146764948	1.325792578	1.630892319	1.381598266	1.545186839	0.53847678	0.476449108	0.398726439	-0.218468052	-0.267696408	-0.436762693	0.499854264
2004	12	0.725955214	0.664286893	0.802604133	1.208004292	1.136941635	1.217075716	1.371888744	1.285371237	1.454280722	1.24583593	1.138642161	1.214532278	-0.124383424	-0.157179125	-0.314476992	0.496447647
2005	1	-0.737483988	-0.824890391	-0.972731574	0.234836544	0.156603663	0.053875061	0.828167789	0.756230418	0.873424436	1.107831609	1.015108114	1.125855435	0.151446482	0.10413839	0.058047604	0.574381376
2005	2	-0.991373292	-1.193346984	-1.128829869	-0.388020387	-0.588370623	-0.694481477	0.305401385	0.205740505	0.105748737	0.548247407	0.491501536	0.487815182	0.001082242	-0.047479487	-0.129379638	0.356617943
2005	3	-0.073352116	-0.201311093	-0.391965665	-0.960788844	-1.134743071	-1.1477425	0.10990082	-0.094727833	-0.300450233	0.349099369	0.23549316	0.117205806	0.324034202	0.262661089	0.12700315	0.427173301
2005	4	-1.014213982	-0.888845849	-1.20780064	-0.999820236	-1.251631106	-1.196397996	-0.3683584	-0.625011644	-0.789527672	0.127031763	-0.077641614	-0.263693211	0.370513392	0.247632499	0.056977491	0.304954388
2005	5	0.320921518	0.221600886	-0.401580663	-0.461836336	-0.57918849	-0.896956385	-0.552410959	-0.757636103	-0.912340323	0.051349873	-0.144056089	-0.406103421	0.25988042	0.103050508	-0.117896412	0.149998358
2005	6	-1.416782264	-1.223863798	-1.614137681	-0.951083668	-0.993228397	-1.340931761	-1.205398658	-1.391379263	-1.368369259	-0.119520208	-0.339752852	-0.656283985	0.127803991	-0.045136759	-0.308486043	0.088065088
2005	7	-0.783167684	-0.658814317	-1.481981935	-0.317780149	-0.317052847	-1.219789098	-1.160047792	-1.214467973	-1.379879049	-0.458511894	-0.638544334	-0.925917288	0.059434756	-0.122240744	-0.439988483	0.06088929
2005	8	0.208758194	0.232402001	-0.872555808	-0.710789001	-0.658113493	-1.583709764	-0.677695619	-0.684686956	-1.227416743	-0.656606266	-0.807407327	-1.080079929	-0.02334511	-0.204774027	-0.570350896	0.091962888
2005	9	-0.475338291	-0.501631012	-0.888470444	-0.495491501	-0.494445308	-1.317382551	-1.039091927	-0.879202234	-1.531598023	-1.274171785	-1.383365164	-1.479395902	-0.220736183	-0.400007458	-0.81175817	0.190194022
2005	10	0.191950675	0.078039165	-0.247000071	-0.156781056	-0.251006386	-0.803511201	-0.286044046	-0.324283655	-1.135971951	-1.18783857	-1.013781245	-1.508252958	-0.557124611	-0.60192953	-1.06919189	0.358336302
2005	11	-0.725528096	-0.61730542	-1.084059863	-0.52264208	-0.488156501	-0.956373546	-0.630317991	-0.566959837	-1.291586588	-0.901203902	-0.766999504	-1.442651375	-0.866591516	-0.846155284	-1.294685198	0.380458063
2005	12	-0.07835368	-0.325042641	-0.27763279	-0.346985693	-0.39226854	-0.601592306	-0.464436134	-0.510960961	-0.961612013	-0.774358282	-0.719114115	-1.3861931	-1.190766798	-1.103377055	-1.492425205	0.145355196
2006	1	0.466262603	0.394501493	0.311735269	-0.060136615	-0.145510711	-0.359297302	-0.14662841	-0.238946419	-0.630370687	-0.212843473	-0.270784379	-0.827125869	-0.742081492	-0.658927485	-1.193030591	0.519736165
2006	2	-0.525706337	-0.656748595	-0.657703242	-0.069604397	-0.229661032	-0.336407182	-0.319341838	-0.550546316	-0.771857774	-0.396720339	-0.594063417	-0.979563874	-0.592122507	-0.624824553	-1.121415198	0.579190129
2006	3	0.472580599	0.358866551	0.256088448	0.111096255	0.00188117	-0.150155091	-0.092565429	-0.35074144	-0.588732086	-0.187088457	-0.397708548	-0.786165837	-0.386700954	-0.541146662	-0.969266241	0.47725634
2006	4	0.504809205	0.424461456	0.404200649	0.035637281	-0.099391461	-0.226434502	-0.017931937	-0.216783318	-0.447756347	-0.081961648	-0.341416454	-0.661945984	-0.134723993	-0.373541717	-0.791923113	0.475277189
2006	5	-1.079455797	-1.157607423	-1.23948606	0.262718366	0.120682257	-0.121967096	0.015057182	-0.1394923	-0.294388353	-0.185015526	-0.428816891	-0.702654079	-0.247921002	-0.498906672	-0.867569845	0.352634473
2006	6	1.759654748	1.652522503	1.311174352	0.393323042	0.267350083	0.011510355	0.189103333	0.050537847	-0.134196115	-0.033889515	-0.23979735	-0.540373722	-0.125545922	-0.345201094	-0.726317838	0.392610623
2006	7	-1.089053425	-0.921661673	-1.117364512	-0.139600667	-0.153625888	-0.584980416	-0.05333364	-0.137870484	-0.356917494	-0.075175908	-0.23047832	-0.497475766	-0.132748149	-0.344647658	-0.702964287	0.130577217
2006	8	1.06867311	1.020572529	0.841664624	1.141814913	1.06230506	0.596332359	0.527669487	0.383805065	0.08227824	0.139996892	0.020192629	-0.145055048	-0.079123628	-0.268951555	-0.579053743	0.207803493
2006	9	0.497851759	0.404570191	0.214616129	0.495236882	0.366494058	0.069614104	0.492186004	0.358743788	0.059742398	0.258831435	0.142712077	-0.108492137	0.027328888	-0.129055798	-0.481691422	0.278117569
2006	10	0.861068764	0.770190102	0.632684617	1.055404894	0.894326854	0.755358861	0.731960833	0.651742745	0.372553894	0.405625869	0.312540677	0.026424505	0.198089363	0.093132452	-0.237858115	0.309529142
2006	11	0.992496565	0.944849927	0.983032313	1.098084487	0.905118131	0.881393188	1.187623826	0.999634621	0.92038323	1.066441841	0.932495904	0.706303225	0.541947959	0.410685932	0.237150582	0.77731979
2006	12	1.16948546	1.209460286	1.287360066	1.421244915	1.346620941	1.301109587	1.298743094	1.213829745	1.132732815	1.276829155	1.167145309	1.048610941	0.917979026	0.767329769	0.633385423	0.481018359
2007	1	-0.087737634	-0.16641808	-0.439993804	0.880310298	0.817586498	0.738305977	1.073362286	1.006544354	0.905334111	0.989539369	0.899932238	0.730888953	0.735021134	0.602351666	0.47124534	0.615748956
2007	2	-0.618759626	-0.763989872	-0.85387679	0.278401866	0.161893979	-0.134379179	0.67013501	0.64692253	0.346999297	0.773488016	0.75015257	0.453578559	0.764819817	0.695411467	0.481666284	0.355165566
2007	3	1.170639685	1.075090205	1.145457644	0.108659682	-0.00069775	-0.269277433	0.872226144	0.867046033	0.636770115	0.875470611	0.856777004	0.581298304	0.903942397	0.918231981	0.614090555	0.339613146
2007	4	0.540898033	0.45564457	0.434054218	0.375190276	0.277909223	0.077226745	0.745500462	0.670896576	0.472887951	0.913219267	0.912531219	0.672231255	0.877750039	0.870995354	0.549681838	0.410431034
2007	5	1.190373002	1.075661288	1.058026017	1.24974791	1.073142402	1.124712597	0.734444976	0.642869919	0.411698027	0.968294482	0.958121917	0.716717403	1.040766149	1.02774677	0.79134959	0.571266694
2007	6	-1.6940501	-1.475395846	-1.492011779	0.753918059	0.60510684	0.290693465	0.309171174	0.174489312	-0.145886365	0.948506397	0.904467705	0.630481965	0.945931548	0.922091775	0.587762962	0.403140538
2007	7	-0.433992576	-0.359421193	-0.796159445	0.529087338	0.459301406	-0.123664761	0.466781134	0.36770338	0.046736775	0.798802706	0.698672699	0.439950869	0.959051769	0.916560969	0.609071278	0.382876259
2007	8	-0.934510642	-0.815597164	-1.175263131	-1.43068077	-1.32729036	-1.412736452	0.988998681	0.792592918	0.488202921	0.621194875	0.519476313	0.194800839	0.883075281	0.835936756	0.473654097	0.327232624
2007	9	-0.958249921	-0.951987541	-0.921192619	-1.155623316	-1.069251897	-1.218637899	-0.012563227	-0.049059425	-0.42476713	0.046029763	-0.068873372	-0.409054737	0.752032914	0.66094225	0.297994788	0.307193666
2007	10	0.967090631	0.879857664	0.821161823	0.24016309	0.124227869	-0.117772357	0.3561889	0.291535355	-0.035659182	0.484730798	0.378362223	0.044764497	0.855270324	0.697529103	0.439225735	0.284735156
